tconst,primaryTitle,originalTitle,startYear,decade,runtimeMinutes,primaryGenre,genres,averageRating,numVotes,ratingCategory,popularityTier,hasDirector,directors,writers
tt0159369,Cooper and Hemingway: The True Gen,Cooper and Hemingway: The True Gen,2013.0,2010.0,120,Documentary,Documentary,7.4,108,Good (7.0-7.9),Niche (<1K),True,nm0611850,nm0611850
tt0159371,Impact,Coping,2000.0,2000.0,90,Comedy,"Comedy,Drama,Romance",7.4,209,Good (7.0-7.9),Niche (<1K),True,nm0393450,nm0393450
tt0159396,Civility,Civility,2000.0,2000.0,82,Thriller,Thriller,3.7,172,Poor (<5.0),Niche (<1K),True,nm0146977,nm0146977
tt0159784,Takedown,Takedown,2000.0,2000.0,96,Biography,"Biography,Crime,Drama",6.2,7439,Average (6.0-6.9),Known (1K-10K),True,nm0152640,"nm0793737,nm0548586,nm0628058,nm0628174,nm0200729,nm0734912"
tt0160009,The Art of War,The Art of War,2000.0,2000.0,117,Action,"Action,Adventure,Crime",5.7,32258,Below Average (5.0-5.9),Popular (10K-50K),True,nm0240995,"nm0063511,nm0058164"
tt0160127,Charlie's Angels,Charlie's Angels,2000.0,2000.0,98,Action,"Action,Adventure,Comedy",5.7,206856,Below Average (5.0-5.9),Blockbuster (100K+ votes),True,nm0629334,"nm0746598,nm0004412,nm0041864,nm0324578,nm0730850"
tt0160184,D-Tox,D-Tox,2002.0,2000.0,96,Crime,"Crime,Thriller",5.3,30956,Below Average (5.0-5.9),Popular (10K-50K),True,nm0318947,"nm0842697,nm0109587"
tt0160239,Duty Dating,Duty Dating,2002.0,2000.0,94,Comedy,"Comedy,Romance",5.1,122,Below Average (5.0-5.9),Niche (<1K),True,nm0635777,nm0635777
tt0160256,The Unscarred,The Unscarred,2000.0,2000.0,92,Thriller,Thriller,5.5,276,Below Average (5.0-5.9),Niche (<1K),True,nm0320546,nm0432646
tt0160275,Final Solution,Final Solution,2001.0,2000.0,102,Action,"Action,Drama",7.3,200,Good (7.0-7.9),Niche (<1K),True,nm1077105,nm1077105
tt0160289,Four Dogs Playing Poker,Four Dogs Playing Poker,2000.0,2000.0,97,Crime,"Crime,Drama,Mystery",5.5,1493,Below Average (5.0-5.9),Known (1K-10K),True,nm0705127,"nm0860707,nm0704454"
tt0160399,Impostor,Impostor,2001.0,2000.0,95,Drama,"Drama,Mystery,Sci-Fi",6.2,25368,Average (6.0-6.9),Popular (10K-50K),True,nm0001219,"nm0001140,nm0003298,nm0143187,nm0472567,nm0878638"
tt0160403,The Independent,The Independent,2000.0,2000.0,81,Comedy,Comedy,5.9,1419,Below Average (5.0-5.9),Known (1K-10K),True,nm0450387,"nm0929293,nm0450387"
tt0160434,Housebound,Housebound,2000.0,2000.0,89,Thriller,Thriller,4.1,249,Poor (<5.0),Niche (<1K),True,nm0466479,nm0466479
tt0160484,Lost Souls,Lost Souls,2000.0,2000.0,97,Drama,"Drama,Horror,Thriller",4.8,11781,Poor (<5.0),Popular (10K-50K),True,nm0001405,"nm0307070,nm0821439"
tt0160495,Luckytown,Luckytown,2000.0,2000.0,101,Crime,"Crime,Drama,Mystery",4.7,1117,Poor (<5.0),Known (1K-10K),True,nm6497799,nm1129263
tt0160547,More Dogs Than Bones,More Dogs Than Bones,2000.0,2000.0,92,Comedy,"Comedy,Crime,Drama",5.0,459,Below Average (5.0-5.9),Niche (<1K),True,nm0115192,nm0115192
