tconst,primaryTitle,originalTitle,startYear,decade,runtimeMinutes,primaryGenre,genres,averageRating,numVotes,ratingCategory,popularityTier,hasDirector,directors,writers
tt0168856,A Fish Tale,Hjælp! Jeg er en fisk,2000.0,2000.0,80,Adventure,"Adventure,Animation,Comedy",6.1,8062,Average (6.0-6.9),Known (1K-10K),True,"nm0280745,nm0373798","nm1202109,nm0280745,nm0478172,nm0647690"
tt0169102,Lagaan: Once Upon a Time in India,Lagaan: Once Upon a Time in India,2001.0,2000.0,224,Drama,"Drama,Musical,Sport",8.1,128855,Excellent (8.0+),Blockbuster (100K+ votes),True,nm0332950,"nm0332950,nm1021349,nm1021353,nm1022153"
tt0169122,Perfumed Garden: Tales of the Kama Sutra,Perfumed Garden: Tales of the Kama Sutra,2000.0,2000.0,95,Drama,"Drama,Romance",3.5,537,Poor (<5.0),Niche (<1K),True,nm0612730,"nm2365690,nm0297157"
tt0169324,Tick Tock,Tick Tock,2000.0,2000.0,93,Crime,"Crime,Drama,Thriller",5.6,969,Below Average (5.0-5.9),Niche (<1K),True,nm0855107,nm0855107
tt0169543,Almost Blue,Almost Blue,2000.0,2000.0,86,Thriller,Thriller,5.6,813,Below Average (5.0-5.9),Niche (<1K),True,nm0408644,"nm0006872,nm0408644,nm0408647,nm0524044"
tt0170008,Hollywood Palms,Hollywood Palms,2001.0,2000.0,86,Comedy,Comedy,5.2,191,Below Average (5.0-5.9),Niche (<1K),True,nm0618680,"nm0131541,nm0479779"
tt0170016,How the Grinch Stole Christmas,How the Grinch Stole Christmas,2000.0,2000.0,104,Comedy,"Comedy,Family,Fantasy",6.4,331962,Average (6.0-6.9),Blockbuster (100K+ votes),True,nm0000165,"nm0317450,nm0696949,nm0780620"
tt0170452,Prince of Central Park,Prince of Central Park,2000.0,2000.0,109,Action,"Action,Adventure,Drama",5.1,689,Below Average (5.0-5.9),Niche (<1K),True,nm0498637,"nm0498637,nm0722426"
tt0170508,Il resto di niente,Il resto di niente,2004.0,2000.0,103,Drama,"Drama,History",6.6,209,Average (6.0-6.9),Niche (<1K),True,nm0209744,"nm0834312,nm0733605,nm0209744,nm0754590"
tt0170517,The Life of Aleksis Kivi,Aleksis Kiven elämä,2001.0,2000.0,104,Biography,"Biography,Drama",6.1,606,Average (6.0-6.9),Niche (<1K),True,nm0356875,"nm0356875,nm0754022,nm0866918"
tt0170691,Tigerland,Tigerland,2000.0,2000.0,101,Drama,"Drama,War",6.9,45284,Average (6.0-6.9),Popular (10K-50K),True,nm0001708,"nm0458462,nm0570077"
tt0171339,Generation Ax,Generation Ax,2001.0,2000.0,78,Horror,Horror,2.9,126,Poor (<5.0),Niche (<1K),True,nm0265541,nm0265541
tt0171356,Gun Shy,Gun Shy,2000.0,2000.0,101,Comedy,"Comedy,Crime,Romance",5.6,8300,Below Average (5.0-5.9),Known (1K-10K),True,nm0086826,nm0086826
tt0171359,Hamlet,Hamlet,2000.0,2000.0,112,Drama,"Drama,Romance,Thriller",5.9,10362,Below Average (5.0-5.9),Popular (10K-50K),True,nm0021899,"nm0000636,nm0021899"
tt0171433,Keeping the Faith,Keeping the Faith,2000.0,2000.0,128,Comedy,"Comedy,Drama,Romance",6.4,54318,Average (6.0-6.9),Major (50K-100K),True,nm0001570,nm0089742
tt0171580,Nurse Betty,Nurse Betty,2000.0,2000.0,110,Comedy,"Comedy,Crime,Drama",6.3,37080,Average (6.0-6.9),Popular (10K-50K),True,nm0001438,"nm0724167,nm0280963"
tt0171928,A Samba for Sherlock,O Xangô de Baker Street,2001.0,2000.0,124,Comedy,"Comedy,Crime",6.6,1308,Average (6.0-6.9),Known (1K-10K),True,nm0267340,"nm0077094,nm0236279,nm0267340,nm0578266,nm0811666"
tt0172109,Alex l'ariete,Alex l'ariete,2000.0,2000.0,122,Action,"Action,Crime",1.8,921,Poor (<5.0),Niche (<1K),True,nm0198765,nm0332417
tt0172156,Bad Boys II,Bad Boys II,2003.0,2000.0,147,Action,"Action,Comedy,Crime",6.6,287104,Average (6.0-6.9),Blockbuster (100K+ votes),True,nm0000881,"nm0303032,nm0926729,nm0926727,nm0005421,nm0821466"
tt0172182,Blood Type,Blood Type,2018.0,2010.0,90,Comedy,"Comedy,Drama,Mystery",6.7,120,Average (6.0-6.9),Niche (<1K),True,nm0003166,nm0003166
tt0172464,The Million Dollar Kid,The Million Dollar Kid,2000.0,2000.0,91,Action,"Action,Adventure,Comedy",3.2,538,Poor (<5.0),Niche (<1K),True,nm0541896,"nm0878494,nm0003134"
tt0172495,Gladiator,Gladiator,2000.0,2000.0,155,Action,"Action,Adventure,Drama",8.5,1835839,Excellent (8.0+),Blockbuster (100K+ votes),True,nm0000631,"nm0291905,nm0517589,nm0629933"
tt0172543,He Died with a Felafel in His Hand,He Died with a Felafel in His Hand,2001.0,2000.0,107,Comedy,"Comedy,Romance",7.0,4282,Good (7.0-7.9),Known (1K-10K),True,nm0523154,"nm0523154,nm0083658"
tt0172632,Joe Gould's Secret,Joe Gould's Secret,2000.0,2000.0,104,Drama,Drama,6.5,1689,Average (6.0-6.9),Known (1K-10K),True,nm0001804,"nm0593476,nm0734912"
tt0172699,Labor Pains,Labor Pains,2000.0,2000.0,90,Comedy,"Comedy,Drama,Romance",4.6,266,Poor (<5.0),Niche (<1K),True,nm0019010,nm0019010
tt0172794,The Apostate,Michael Angel,2000.0,2000.0,94,Crime,"Crime,Horror,Mystery",4.1,450,Poor (<5.0),Niche (<1K),True,nm0332829,nm0332829
tt0172995,Play Dead,Play Dead,2001.0,2000.0,79,Comedy,Comedy,5.6,227,Below Average (5.0-5.9),Niche (<1K),True,nm0420870,nm0420870
tt0173498,Zigs,Zigs,2001.0,2000.0,93,Comedy,"Comedy,Drama",5.0,343,Below Average (5.0-5.9),Niche (<1K),True,nm0552358,"nm0552358,nm0458721"
tt0173568,The Sexy Mysterious Murders,Kiss Kiss Bang Bang,2000.0,2000.0,75,Thriller,Thriller,5.8,407,Below Average (5.0-5.9),Niche (<1K),True,nm0002916,nm0002916
tt0173716,Cecil B. Demented,Cecil B. Demented,2000.0,2000.0,87,Comedy,"Comedy,Crime,Thriller",6.3,17893,Average (6.0-6.9),Popular (10K-50K),True,nm0000691,nm0000691
tt0173840,Final Fantasy: The Spirits Within,Final Fantasy: The Spirits Within,2001.0,2000.0,106,Action,"Action,Adventure,Animation",6.4,85792,Average (6.0-6.9),Major (50K-100K),True,"nm0756983,nm1012102","nm0756983,nm0718031,nm0899113,nm0282027,nm1105482,nm1804369"
tt0173999,The Magic of Marciano,The Magic of Marciano,2000.0,2000.0,100,Drama,Drama,6.2,701,Average (6.0-6.9),Niche (<1K),True,nm0053684,nm0053684
tt0174027,Mirka,Mirka,2000.0,2000.0,107,Drama,Drama,6.4,363,Average (6.0-6.9),Niche (<1K),True,nm0071123,nm0071123
tt0174336,Whipped,Whipped,2000.0,2000.0,82,Comedy,"Comedy,Romance",4.5,4551,Poor (<5.0),Known (1K-10K),True,nm0169680,nm0169680
tt0174480,Autumn in New York,Autumn in New York,2000.0,2000.0,103,Drama,"Drama,Romance",5.6,30364,Below Average (5.0-5.9),Popular (10K-50K),True,nm0001040,nm0122335
tt0174732,Herman U.S.A.,Herman U.S.A.,2001.0,2000.0,89,Comedy,"Comedy,Romance",6.2,167,Average (6.0-6.9),Niche (<1K),True,nm0783717,nm0783717
tt0175142,Scary Movie,Scary Movie,2000.0,2000.0,88,Comedy,Comedy,6.3,321264,Average (6.0-6.9),Blockbuster (100K+ votes),True,nm0005540,"nm0915465,nm0005541,nm0424688,nm0064556,nm0294997,nm0783536"
tt0175203,The Stone Raft,La balsa de piedra,2002.0,2000.0,103,Drama,"Drama,Fantasy",5.8,678,Below Average (5.0-5.9),Niche (<1K),True,nm0806293,"nm0083745,nm0764832,nm0806293"
tt0175557,O Delfim,O Delfim,2002.0,2000.0,88,Drama,Drama,6.5,392,Average (6.0-6.9),Niche (<1K),True,nm0519882,"nm0136611,nm0519882,nm0782753,nm0884099"
tt0176185,The Story of O: Untold Pleasures,The Story of O: Untold Pleasures,2002.0,2000.0,98,Drama,Drama,4.2,356,Poor (<5.0),Niche (<1K),True,nm0500535,"nm0042213,nm0193721,nm0229759,nm0500535,nm1644040"
tt0176244,Tripfall,Tripfall,2000.0,2000.0,91,Thriller,Thriller,4.0,503,Poor (<5.0),Niche (<1K),True,nm0271084,nm0271084
tt0176579,Bullfighter,Bullfighter,2000.0,2000.0,90,Action,"Action,Adventure,Fantasy",2.5,574,Poor (<5.0),Niche (<1K),True,nm0070591,"nm0070591,nm0319474,nm0141281,nm0141246"
tt0176694,The Tragedy of Man,Az ember tragédiája,2011.0,2010.0,166,Animation,"Animation,Drama,History",8.0,1412,Excellent (8.0+),Known (1K-10K),True,nm0417757,"nm0417757,nm1062583"
tt0176783,Gossip,Gossip,2000.0,2000.0,90,Drama,"Drama,Mystery,Thriller",5.9,18364,Below Average (5.0-5.9),Popular (10K-50K),True,nm0346550,"nm0201304,nm0714246"
tt0176883,Kids World,Kids World,2000.0,2000.0,93,Adventure,"Adventure,Comedy,Family",5.2,322,Below Average (5.0-5.9),Niche (<1K),True,nm0103186,nm0479965
tt0177068,Once in the Life,Once in the Life,2000.0,2000.0,107,Crime,"Crime,Drama",5.2,847,Below Average (5.0-5.9),Niche (<1K),True,nm0000401,nm0000401
tt0177185,The Rowdy Girls,The Rowdy Girls,2000.0,2000.0,90,Comedy,"Comedy,Romance,Western",4.0,557,Poor (<5.0),Niche (<1K),True,nm0004084,"nm0020586,nm0111323"
tt0177195,Sample People,Sample People,2000.0,2000.0,97,Comedy,"Comedy,Crime,Drama",4.2,460,Poor (<5.0),Niche (<1K),True,nm0807746,"nm0807746,nm0118730,nm0640242,nm0436188"
tt0177636,Beloved Clara,Geliebte Clara,2008.0,2000.0,107,Biography,"Biography,Drama,Music",5.5,312,Below Average (5.0-5.9),Niche (<1K),True,nm0761762,"nm0761762,nm0076819,nm0851725"
tt0177650,Company Man,Company Man,2000.0,2000.0,86,Comedy,Comedy,5.2,2250,Below Average (5.0-5.9),Known (1K-10K),True,"nm0039468,nm0569790","nm0039468,nm0569790"
tt0177845,Hotel Splendide,Hotel Splendide,2000.0,2000.0,98,Comedy,Comedy,6.2,1596,Average (6.0-6.9),Known (1K-10K),True,nm0343503,nm0343503
tt0177858,In July,Im Juli,2000.0,2000.0,99,Adventure,"Adventure,Comedy,Romance",7.6,23464,Good (7.0-7.9),Popular (10K-50K),True,nm0015359,nm0015359
tt0177882,Kebab Connection,Kebab Connection,2004.0,2000.0,96,Action,"Action,Comedy,Romance",6.6,5307,Average (6.0-6.9),Known (1K-10K),True,nm0766649,"nm0015359,nm0858399,nm0074217,nm0766649,nm0777978"
tt0177885,Killer Bud,Killer Bud,2001.0,2000.0,92,Comedy,Comedy,4.5,519,Poor (<5.0),Niche (<1K),True,nm0386504,"nm0220045,nm0625026"
tt0177888,King of the Jungle,King of the Jungle,2000.0,2000.0,87,Crime,"Crime,Drama,Thriller",5.8,619,Below Average (5.0-5.9),Niche (<1K),True,nm0742568,nm0742568
tt0177971,The Perfect Storm,The Perfect Storm,2000.0,2000.0,130,Action,"Action,Adventure,Drama",6.5,187709,Average (6.0-6.9),Blockbuster (100K+ votes),True,nm0000583,"nm0432631,nm0937074"
tt0177997,Women of the Night,Women of the Night,2001.0,2000.0,97,Thriller,Thriller,3.6,431,Poor (<5.0),Niche (<1K),True,nm0455394,nm0455394
tt0178043,Stranger Than Fiction,Stranger Than Fiction,2000.0,2000.0,90,Comedy,"Comedy,Thriller",6.1,1437,Average (6.0-6.9),Known (1K-10K),True,nm0112498,"nm0308260,nm0751442"
tt0178050,Sunset Strip,Sunset Strip,2000.0,2000.0,90,Comedy,"Comedy,Drama",5.6,1898,Below Average (5.0-5.9),Known (1K-10K),True,nm0172781,"nm0415745,nm0214825"
tt0178642,The Invisible Circus,The Invisible Circus,2001.0,2000.0,93,Drama,Drama,5.5,3273,Below Average (5.0-5.9),Known (1K-10K),True,nm0111845,"nm0250683,nm0111845"
tt0178655,Exit,Exit,2000.0,2000.0,110,Crime,"Crime,Sci-Fi,Thriller",4.6,339,Poor (<5.0),Niche (<1K),True,nm0576298,nm0576298
tt0179098,Moonlight Mile,Moonlight Mile,2002.0,2000.0,117,Drama,"Drama,Romance",6.6,15191,Average (6.0-6.9),Popular (10K-50K),True,nm0797869,nm0797869
tt0179137,Coronation,Coronación,2000.0,2000.0,140,Drama,"Drama,Romance",7.1,496,Good (7.0-7.9),Niche (<1K),True,nm0129028,"nm0129028,nm0232931"
tt0179183,Fortress 2: Re-Entry,Fortress 2,2000.0,2000.0,92,Action,"Action,Sci-Fi",4.5,7647,Poor (<5.0),Known (1K-10K),True,nm0614276,"nm0270686,nm0624639,nm0282472,nm0236474"
tt0179344,Tell Me No Lies,The Midnight Hour,2001.0,2000.0,91,Drama,"Drama,Thriller",2.7,248,Poor (<5.0),Niche (<1K),True,nm0411654,"nm0426848,nm0866355"
tt0179435,The Proposal,The Proposal,2001.0,2000.0,91,Drama,"Drama,Thriller",5.3,833,Below Average (5.0-5.9),Niche (<1K),True,nm0301903,nm0403477
tt0179443,Rancid Aluminum,Rancid Aluminium,2000.0,2000.0,91,Comedy,"Comedy,Crime,Drama",3.5,1148,Poor (<5.0),Known (1K-10K),True,nm0858782,nm0369950
tt0179473,"South of Heaven, West of Hell","South of Heaven, West of Hell",2000.0,2000.0,131,Drama,"Drama,Western",4.3,1798,Poor (<5.0),Known (1K-10K),True,nm0948267,"nm0948267,nm0352518,nm0271337,nm0077923"
tt0179626,15 Minutes,15 Minutes,2001.0,2000.0,120,Action,"Action,Crime,Drama",6.1,53457,Average (6.0-6.9),Major (50K-100K),True,nm0381273,nm0381273
tt0179803,Angels with Angles,Angels with Angles,2005.0,2000.0,87,Comedy,Comedy,5.0,176,Below Average (5.0-5.9),Niche (<1K),True,nm0485548,"nm0485548,nm1856977"
tt0179861,Icebreaker,Icebreaker,2000.0,2000.0,90,Action,"Action,Drama",3.5,1445,Poor (<5.0),Known (1K-10K),True,nm0316151,nm0316151
tt0180052,The Adventures of Pluto Nash,The Adventures of Pluto Nash,2002.0,2000.0,95,Action,"Action,Comedy,Sci-Fi",3.9,28255,Poor (<5.0),Popular (10K-50K),True,nm0881038,nm0193854
tt0180073,Quills,Quills,2000.0,2000.0,124,Biography,"Biography,Drama",7.2,58962,Good (7.0-7.9),Major (50K-100K),True,nm0442241,nm0942354
tt0180093,Requiem for a Dream,Requiem for a Dream,2000.0,2000.0,102,Drama,Drama,8.3,968308,Excellent (8.0+),Blockbuster (100K+ votes),True,nm0004716,"nm0782968,nm0004716"
tt0180679,Escanaba in da Moonlight,Escanaba in da Moonlight,2001.0,2000.0,91,Comedy,"Comedy,Fantasy",6.3,2169,Average (6.0-6.9),Known (1K-10K),True,nm0001099,"nm0001099,nm0764393"
tt0180683,Everything's Jake,Everything's Jake,2000.0,2000.0,92,Comedy,"Comedy,Drama",6.2,164,Average (6.0-6.9),Niche (<1K),True,nm0585738,"nm0275298,nm0585738"
tt0180734,Hardball,Hard Ball,2001.0,2000.0,106,Comedy,"Comedy,Drama,Sport",6.4,35896,Average (6.0-6.9),Popular (10K-50K),True,nm0005367,"nm0185359,nm0309691"
tt0180837,Bossa Nova,Bossa Nova,2000.0,2000.0,95,Comedy,"Comedy,Drama,Romance",6.3,1923,Average (6.0-6.9),Known (1K-10K),True,nm0000853,"nm0532409,nm0763117,nm0949540"
tt0180894,Odmazda,Odmazda,2001.0,2000.0,103,Drama,"Drama,War",6.9,177,Average (6.0-6.9),Niche (<1K),True,nm0385961,"nm0989135,nm0329664,nm0385961"
tt0180897,Paradise Lost,Paradise Lost,2000.0,2000.0,105,Drama,"Drama,Mystery,Sci-Fi",4.5,329,Poor (<5.0),Niche (<1K),True,nm0293113,"nm0293113,nm0781817"
tt0181151,What Planet Are You From?,What Planet Are You From?,2000.0,2000.0,105,Comedy,"Comedy,Sci-Fi",5.7,10111,Below Average (5.0-5.9),Popular (10K-50K),True,nm0001566,"nm0788009,nm0498775,nm0004412,nm0865847"
tt0181311,Best,Best,2000.0,2000.0,102,Biography,"Biography,Drama",5.6,867,Below Average (5.0-5.9),Niche (<1K),True,nm0570082,"nm0001487,nm0570082"
tt0181317,Bodywork,Bodywork,2001.0,2000.0,92,Crime,Crime,5.4,194,Below Average (5.0-5.9),Niche (<1K),True,nm0428101,nm0428101
tt0181536,Finding Forrester,Finding Forrester,2000.0,2000.0,136,Drama,"Drama,Sport",7.3,92987,Good (7.0-7.9),Major (50K-100K),True,nm0001814,nm0723692
tt0181548,Les frères Soeur,Les frères Soeur,2000.0,2000.0,95,Comedy,Comedy,4.3,127,Poor (<5.0),Niche (<1K),True,nm0418621,"nm0046347,nm0418621,nm0736676"
tt0181689,Minority Report,Minority Report,2002.0,2000.0,145,Action,"Action,Crime,Mystery",7.6,618479,Good (7.0-7.9),Blockbuster (100K+ votes),True,nm0000229,"nm0291082,nm0169509,nm0001140"
tt0181739,Osmosis Jones,Osmosis Jones,2001.0,2000.0,95,Action,"Action,Adventure,Animation",6.3,41274,Average (6.0-6.9),Popular (10K-50K),True,"nm0125803,nm0268380",nm0405190
tt0181819,The Birthday,Födelsedagen,2000.0,2000.0,114,Drama,Drama,5.7,295,Below Average (5.0-5.9),Niche (<1K),True,nm0387683,nm0387683
tt0181836,The Specials,The Specials,2000.0,2000.0,82,Action,"Action,Comedy,Fantasy",5.7,2700,Below Average (5.0-5.9),Known (1K-10K),True,nm0563301,nm0348181
tt0181852,Terminator 3: Rise of the Machines,Terminator 3: Rise of the Machines,2003.0,2000.0,109,Action,"Action,Sci-Fi",6.3,435634,Average (6.0-6.9),Blockbuster (100K+ votes),True,nm0609236,"nm0104335,nm0274905,nm0093328"
tt0181865,Traffic,Traffic,2000.0,2000.0,147,Crime,"Crime,Drama,Thriller",7.5,229752,Good (7.0-7.9),Blockbuster (100K+ votes),True,nm0001752,"nm0601881,nm0300866"
tt0181875,Almost Famous,Almost Famous,2000.0,2000.0,122,Adventure,"Adventure,Comedy,Drama",7.9,313807,Good (7.0-7.9),Blockbuster (100K+ votes),True,nm0001081,nm0001081
tt0181912,In Praise of Love,Éloge de l'amour,2001.0,2000.0,97,Drama,Drama,6.3,3158,Average (6.0-6.9),Known (1K-10K),True,nm0000419,nm0000419
tt0181945,A Piece of Eden,A Piece of Eden,2000.0,2000.0,106,Comedy,"Comedy,Drama,Romance",5.7,167,Below Average (5.0-5.9),Niche (<1K),True,nm0359386,nm0873148
tt0181984,Boiler Room,Boiler Room,2000.0,2000.0,120,Crime,"Crime,Drama,Thriller",7.0,59908,Good (7.0-7.9),Major (50K-100K),True,nm0950226,nm0950226
tt0182000,The Caveman's Valentine,The Caveman's Valentine,2001.0,2000.0,105,Crime,"Crime,Drama,Music",5.8,8323,Below Average (5.0-5.9),Known (1K-10K),True,nm0501435,nm0205923
tt0182027,The Cure for Boredom,The Cure for Boredom,2001.0,2000.0,87,Comedy,Comedy,5.7,106,Below Average (5.0-5.9),Niche (<1K),True,nm0696612,nm0364801
tt0182295,Love's Labour's Lost,Love's Labour's Lost,2000.0,2000.0,93,Comedy,"Comedy,Musical,Romance",5.9,5105,Below Average (5.0-5.9),Known (1K-10K),True,nm0000110,"nm0000636,nm0000110"
tt0182508,Urbania,Urbania,2000.0,2000.0,103,Drama,Drama,6.8,3272,Average (6.0-6.9),Known (1K-10K),True,nm0790398,"nm0718670,nm0790398"
tt0183056,Esther Kahn,Esther Kahn,2000.0,2000.0,157,Drama,"Drama,Romance",6.7,1243,Average (6.0-6.9),Known (1K-10K),True,nm0221611,"nm0221611,nm0099802,nm0843378"
tt0183113,Gentleman B.,Gentleman B.,2000.0,2000.0,89,Thriller,Thriller,5.2,104,Below Average (5.0-5.9),Niche (<1K),True,nm0003186,"nm0559817,nm1137668"
tt0183142,Gunblast Vodka,Gunblast Vodka,2000.0,2000.0,97,Comedy,"Comedy,Thriller",2.5,268,Poor (<5.0),Niche (<1K),True,nm0199660,"nm0199660,nm0700269,nm1026186,nm0892617"
tt0183280,Intrepid,Intrepid,2000.0,2000.0,90,Action,"Action,Adventure,Drama",3.4,436,Poor (<5.0),Niche (<1K),True,nm0003289,"nm0605857,nm0915394"
tt0183423,Love Beat the Hell Outta Me,Love Beat the Hell Outta Me,2000.0,2000.0,89,Drama,Drama,3.8,136,Poor (<5.0),Niche (<1K),True,nm0325998,nm0325998
tt0183505,"Me, Myself & Irene","Me, Myself & Irene",2000.0,2000.0,116,Comedy,Comedy,6.6,264169,Average (6.0-6.9),Blockbuster (100K+ votes),True,"nm0125803,nm0268380","nm0268380,nm0148808,nm0125803"
tt0183523,Mission to Mars,Mission to Mars,2000.0,2000.0,114,Adventure,"Adventure,Sci-Fi,Thriller",5.7,79432,Below Average (5.0-5.9),Major (50K-100K),True,nm0000361,"nm0134230,nm0859029,nm0859049,nm0003662"
tt0183550,My Mother Frank,My Mother Frank,2000.0,2000.0,95,Comedy,"Comedy,Drama,Romance",6.4,592,Average (6.0-6.9),Niche (<1K),True,nm0483953,nm0483953
tt0183595,The Old Place,The Old Place,2000.0,2000.0,49,Documentary,Documentary,7.1,252,Good (7.0-7.9),Niche (<1K),True,"nm0000419,nm0594746","nm2345951,nm0087190,nm0096566,nm0156363,nm1594293,nm0416556,nm0003407,nm0701090,nm2759598,nm0799281,nm0885521,nm0003436"
tt0183639,The Pavilion,The Pavilion,2000.0,2000.0,94,Drama,"Drama,Western",4.5,189,Poor (<5.0),Niche (<1K),True,nm0593185,"nm0329047,nm0727850,nm0829044"
tt0183649,Phone Booth,Phone Booth,2002.0,2000.0,81,Crime,"Crime,Thriller",7.1,300829,Good (7.0-7.9),Blockbuster (100K+ votes),True,nm0001708,nm0169540
tt0183659,Pollock,Pollock,2000.0,2000.0,122,Biography,"Biography,Drama",7.0,30910,Good (7.0-7.9),Popular (10K-50K),True,nm0000438,"nm0619674,nm0808386,nm0193009,nm0256682"
tt0183790,A Knight's Tale,A Knight's Tale,2001.0,2000.0,132,Action,"Action,Adventure,Drama",7.0,218481,Good (7.0-7.9),Blockbuster (100K+ votes),True,nm0001338,nm0001338
tt0183808,Spanish Judges,Spanish Judges,2000.0,2000.0,98,Crime,"Crime,Drama,Thriller",4.9,639,Poor (<5.0),Niche (<1K),True,nm0779641,nm0716880
tt0183869,Taxi 2,Taxi 2,2000.0,2000.0,88,Action,"Action,Comedy,Crime",6.5,62686,Average (6.0-6.9),Major (50K-100K),True,nm0470443,nm0000108
tt0183946,Undertaker's Paradise,Undertaker's Paradise,2000.0,2000.0,91,Comedy,"Comedy,Drama",5.6,120,Below Average (5.0-5.9),Niche (<1K),True,nm0643247,"nm0196441,nm0643247"
tt0184457,"Farewell, My Love","Farewell, My Love",2000.0,2000.0,90,Action,"Action,Crime,Thriller",4.6,218,Poor (<5.0),Niche (<1K),True,nm0284943,nm0284943
tt0184596,Hundhotellet,Hundhotellet,2000.0,2000.0,68,Animation,"Animation,Comedy,Crime",6.8,631,Average (6.0-6.9),Niche (<1K),True,nm0959746,"nm0300370,nm0959746"
tt0184719,Maryam,Maryam,2002.0,2000.0,87,Drama,Drama,6.8,306,Average (6.0-6.9),Niche (<1K),True,nm0785723,nm0785723
tt0184791,O,O,2001.0,2000.0,95,Drama,"Drama,Romance,Thriller",6.1,22621,Average (6.0-6.9),Popular (10K-50K),True,nm0625789,"nm0000636,nm0433994"
tt0184858,Reindeer Games,Reindeer Games,2000.0,2000.0,104,Action,"Action,Crime,Thriller",5.8,44767,Below Average (5.0-5.9),Popular (10K-50K),True,nm0001239,nm0472567
tt0184894,Shanghai Noon,Shanghai Noon,2000.0,2000.0,110,Action,"Action,Adventure,Comedy",6.6,141829,Average (6.0-6.9),Blockbuster (100K+ votes),True,nm0223359,"nm0587692,nm0332184"
tt0184907,Snow Day,Snow Day,2000.0,2000.0,89,Adventure,"Adventure,Comedy,Family",5.2,14707,Below Average (5.0-5.9),Popular (10K-50K),True,nm0462277,"nm0574509,nm0899531"
tt0185007,Whispers: An Elephant's Tale,Whispers: An Elephant's Tale,2000.0,2000.0,72,Adventure,"Adventure,Family",5.0,444,Below Average (5.0-5.9),Niche (<1K),True,nm0431049,"nm0431049,nm0431044,nm0595623,nm0805965"
tt0185014,Wonder Boys,Wonder Boys,2000.0,2000.0,107,Comedy,"Comedy,Drama",7.2,68878,Good (7.0-7.9),Major (50K-100K),True,nm0000436,"nm0149290,nm0460141"
tt0185183,Battlefield Earth,Battlefield Earth,2000.0,2000.0,117,Action,"Action,Adventure,Sci-Fi",2.5,85658,Poor (<5.0),Major (50K-100K),True,nm0002337,"nm0541720,nm0788526,nm0399196"
tt0185382,Intimate Nights,Intimate Nights,2000.0,2000.0,98,Thriller,Thriller,3.7,105,Poor (<5.0),Niche (<1K),True,nm0534979,nm0534979
tt0185431,Little Nicky,Little Nicky,2000.0,2000.0,90,Comedy,"Comedy,Fantasy",5.3,119084,Below Average (5.0-5.9),Blockbuster (100K+ votes),True,nm0109359,"nm0379056,nm0001191,nm0109359"
tt0185542,New Year's Day,New Year's Day,2000.0,2000.0,101,Drama,Drama,6.3,458,Average (6.0-6.9),Niche (<1K),True,nm0471461,nm0114460
tt0186045,Drowning Mona,Drowning Mona,2000.0,2000.0,96,Comedy,"Comedy,Crime,Mystery",5.7,16501,Below Average (5.0-5.9),Popular (10K-50K),True,nm0327064,nm0826041
tt0186151,Frequency,Frequency,2000.0,2000.0,118,Crime,"Crime,Drama,Mystery",7.4,122889,Good (7.0-7.9),Blockbuster (100K+ votes),True,nm0387706,nm0256497
tt0186183,The Guilty,The Guilty,2000.0,2000.0,108,Crime,"Crime,Drama,Thriller",6.1,4210,Average (6.0-6.9),Known (1K-10K),True,nm0909026,"nm0121866,nm0204030"
tt0186202,Cowboy Up,Cowboy Up,2001.0,2000.0,105,Drama,"Drama,Romance,Western",5.6,1031,Below Average (5.0-5.9),Known (1K-10K),True,nm0002699,nm0714853
tt0186454,Point Doom,Point Doom,2000.0,2000.0,100,Action,"Action,Crime,Drama",3.8,524,Poor (<5.0),Niche (<1K),True,nm0131064,nm0214441
tt0186549,The Simian Line,The Simian Line,2000.0,2000.0,106,Drama,"Drama,Romance",5.4,441,Below Average (5.0-5.9),Niche (<1K),True,nm0947388,"nm0947388,nm0498605,nm0076844"
tt0186566,Space Cowboys,Space Cowboys,2000.0,2000.0,130,Action,"Action,Adventure,Thriller",6.5,90844,Average (6.0-6.9),Major (50K-100K),True,nm0000142,"nm0442190,nm0458439"
tt0186589,Sugar & Spice,Sugar & Spice,2001.0,2000.0,81,Comedy,"Comedy,Crime",5.8,16295,Below Average (5.0-5.9),Popular (10K-50K),True,nm0568230,nm0625570
tt0186719,The Young Unknowns,The Young Unknowns,2000.0,2000.0,87,Drama,Drama,4.1,222,Poor (<5.0),Niche (<1K),True,nm0420619,"nm0061953,nm0420619"
tt0186894,Bounce,Bounce,2000.0,2000.0,106,Drama,"Drama,Romance",5.8,22424,Below Average (5.0-5.9),Popular (10K-50K),True,nm0740400,nm0740400
tt0186895,Les Boys III,Les Boys III,2001.0,2000.0,124,Comedy,"Comedy,Drama,Sport",5.7,1235,Below Average (5.0-5.9),Known (1K-10K),True,nm0768597,"nm0109821,nm0131866,nm0768597"
tt0186975,Down to You,Down to You,2000.0,2000.0,91,Comedy,"Comedy,Drama,Romance",5.0,16280,Below Average (5.0-5.9),Popular (10K-50K),True,nm0410640,nm0410640
tt0187078,Gone in 60 Seconds,Gone in Sixty Seconds,2000.0,2000.0,118,Action,"Action,Crime,Thriller",6.5,309007,Average (6.0-6.9),Blockbuster (100K+ votes),True,nm0784061,"nm0355181,nm0003298"
